NO,共通ID,都道府県名及び市町村名,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
89679,E3421200271201,广岛县东广岛市,鹿见山公园,广岛县东广岛市鹿神山 2 号,1,,,1,,1,,,,34.406591,132.727557,
89680,E3421200268201,广岛县东广岛市,戈马邻里公园,广岛县东广岛市高谷高见丘 3-1 号,1,1,,1,,1,,,,34.45739,132.79184,
89681,E3421200269201,广岛县东广岛市,韩国邻里公园,日本广岛东广岛高屋台 1-116-23,1,1,,1,,1,,,,34.4699999,132.834449,
89682,E3421200270201,广岛县东广岛市,龙王山综合公园,日本广岛县东广岛市黑濑町丸山 116 号,1,1,,1,,1,,,,34.329811,132.679015,
89683,E3421200267201,广岛县东广岛市,石和配送公园 1 号,日本广岛县东广岛市和立津 1-37 号,1,1,,1,,1,,,,34.46455,132.651383,
89684,E3421200272201,广岛县东广岛市,西条中央公园,日本广岛县东广岛市西条荣町 1214-45 号,,1,,1,,1,,,,34.427726,132.742326,
89685,E3421200266201,广岛县东广岛市,三条公园,日本广岛县东广岛市西条中央 7-24-1,1,1,,1,,1,,,,34.41608,132.733689,
89686,E3421200190201,广岛县东广岛市,东广岛体育公园,广岛县东广岛市西条町田口 67-1,1,1,,1,,1,,,1,34.381373,132.730288,
33143,E1310500003201,东京文京区,整个后乐园,东京都文京区后乐 1-6-6,,,,1,,1,,,,35.70489457,139.7484712,
33144,E1310500035201,东京文京区,五国寺地区,东京都文京区大塚 5-40-1,,,,1,,1,,,,35.7208123,139.7266708,
33145,e1310500030201,东京文京区,御茶水女子大学（Ochanomizu University）地区和教育森林公园（Education Forest Park）地区。,"东京都文京区大塚 2-1-1, 大塚 3-29 号",,,,1,,1,,,,35.71859764,139.7324048,
33146,E1310500041201,东京文京区,小石川植物园,东京都文京区白山 3-7-1,,,,1,,1,,,,35.7198756,139.7441602,
33147,E1310500047201,东京文京区,东京大学,东京都文京区本乡 7-3-1,,,,1,,1,,,,35.71201647,139.7627191,
33148,E1310500051201,东京文京区,菊园,东京都文京区本驹込 6-16-3,,,,1,,1,,,,35.73282093,139.7461753,
33149,E1310500052201,东京文京区,目白台体育公园周边地区,东京都文京区目白台 1-19 号,,,,1,,1,,,,35.71518049,139.7212219,
33150,E1310600006201,东京台东区,柏叶初级中学,东京都台东区下谷 3-1-29,1,,1,,,,1,,1,35.723414,139.78595,如果阿拉河有洪水泛滥的危险，则不开放。
33151,E1310600009201,东京台东区,浅草小学,东京都台东区花川户 1-14-15,1,,1,,,,1,,1,35.713522,139.799231,如果阿拉河有洪水泛滥的危险，则不开放。
33152,E1310600012201,东京台东区,东泉小学,东京都台东区箕轮 1-23-9,1,,1,,,,1,,1,35.728465,139.792101,如果阿拉河有洪水泛滥的危险，则不开放。
33153,E1310600004201,东京台东区,松叶小学,东京都台东区松谷 1-13-16,1,,1,,,,1,,1,35.71223,139.786782,如果阿拉河有洪水泛滥的危险，则不开放。
33154,E1310600015201,东京台东区,上野初中,东京都台东区上野樱木 1-14-55,1,,1,,,,1,,1,35.721218,139.774904,
33155,E1310600011201,东京台东区,石滨小学,东京都台东区清川 1-14-21,1,,1,,,,1,,1,35.724912,139.803592,如果阿拉河有洪水泛滥的危险，则不开放。
33156,E1310600010201,东京台东区,仙作小学,东京都台东区浅草 4-24-11,1,,1,,,,1,,1,35.719345,139.793992,如果阿拉河有洪水泛滥的危险，则不开放。
33157,E1310600003201,东京台东区,前柳北小学,东京都台东区浅草桥 5-1-8,1,,1,,,,1,,1,35.699323,139.782184,如果阿拉河有洪水泛滥的危险，则不开放。
33158,E1310600013201,东京台东区,浅草初中,东京都台东区仓前 1-3-4,1,,1,,,,1,,1,35.699848,139.789926,如果阿拉河有洪水泛滥的危险，则不开放。
33159,E1310600016201,东京台东区,仓前小学,东京都台东区仓前 4-19-11,1,,1,,,,1,,1,35.704487,139.789297,如果阿拉河有洪水泛滥的危险，则不开放。
33160,E1310600014201,东京台东区,冈町台东初级中学 Okachimachi Taito Junior High School,东京都台东区台东 4-13-16,1,,1,,,,1,,1,35.706931,139.777511,如果阿拉河有洪水泛滥的危险，则不开放。
33161,E1310600029201,东京台东区,柳中小学,东京都台东区谷中 2-9-16,1,1,1,,,,1,,1,35.72393,139.765347,
33162,E1310600023201,东京台东区,大石冈小学,东京都台东区池之畑 2-1-22,1,1,1,,,,1,,1,35.713938,139.766735,
33163,E1310600007201,东京台东区,上野小学,东京都台东区东上野 6-16-8,1,,1,,,,1,,1,35.713874,139.78366,如果阿拉河有洪水泛滥的危险，则不开放。
33164,E1310600005201,东京台东区,东浅草小学,东京都台东区东浅草 2-27-19,1,,1,,,,1,,1,35.724371,139.798267,如果阿拉河有洪水泛滥的危险，则不开放。
33165,E1310600017201,东京台东区,驹形初中,东京都台东区北上野 2-15-1,1,,1,,,,1,,1,35.717291,139.784295,如果阿拉河有洪水泛滥的危险，则不开放。
33166,E1310600008201,东京台东区,田原小学,东京都台东区上门 1-5-14,1,,1,,,,1,,1,35.710174,139.792873,如果阿拉河有洪水泛滥的危险，则不开放。
